year,suburbName,postcode,businessName,industryCode,industryName,x-coordinate,y-coordinate
2011,Melbourne (CBD),3000,Bottega Restaurant,4511,Cafes and Restaurants,144.9710074,-37.81168307
2011,Melbourne (CBD),3000,IGA Express,4110,Supermarket and Grocery Stores,144.9592377,-37.81024912
2011,Melbourne (CBD),3000,Nashi,4511,Cafes and Restaurants,144.9701092,-37.81281453
2006,Melbourne (CBD),3000,Body Justice Health & Fitness Centre,9111,Health and Fitness Centres and Gymnasia Operation,144.9586012,-37.81946849
2006,Melbourne (CBD),3000,La Stradda Cafe,4511,Cafes and Restaurants,144.9566886,-37.81146268
2011,Melbourne (CBD),3000,Colourful Yunnan Restaurant,4511,Cafes and Restaurants,144.9638971,-37.81719967
2011,Melbourne (CBD),3000,Bar Mile,4511,Cafes and Restaurants,144.9638971,-37.81719967
2011,Melbourne (CBD),3000,Hako Japanese Restaurant,4511,Cafes and Restaurants,144.9636828,-37.81726468
2006,Melbourne (CBD),3000,Aranti Cafe,4511,Cafes and Restaurants,144.9632538,-37.81706705
2011,Melbourne (CBD),3000,i Canteen,4511,Cafes and Restaurants,144.9622831,-37.81321386
2011,Melbourne (CBD),3000,Curry Mahal,4511,Cafes and Restaurants,144.9622831,-37.81321386
2011,Melbourne (CBD),3000,+39 Pizzeria & Antipasteria,4511,Cafes and Restaurants,144.9617496,-37.81327298
2011,Melbourne (CBD),3000,Basso,4511,Cafes and Restaurants,144.9629442,-37.81491502
2006,Melbourne (CBD),3000,Koury's Coffee Lounge,4511,Cafes and Restaurants,144.9611339,-37.81848796
2006,Melbourne (CBD),3000,Caffeine At Re Vault,4511,Cafes and Restaurants,144.9645504,-37.80818365
2006,Melbourne (CBD),3000,Flagstaff Cafe,4511,Cafes and Restaurants,144.9560169,-37.8134766
2006,Melbourne (CBD),3000,Cafe Great Space,4511,Cafes and Restaurants,144.9726281,-37.81430616
2006,Melbourne (CBD),3000,Vivaldi Restaurant,4511,Cafes and Restaurants,144.9726281,-37.81430616
2006,Melbourne (CBD),3000,Toasted,4511,Cafes and Restaurants,144.9726281,-37.81430616
2006,Melbourne (CBD),3000,Kenzan Japanese Restaurant,4511,Cafes and Restaurants,144.9726281,-37.81430616
2006,Melbourne (CBD),3000,Pizza Napoli,4511,Cafes and Restaurants,144.9687154,-37.81342961
2006,Melbourne (CBD),3000,Cafe 34,4511,Cafes and Restaurants,144.9624375,-37.81798973
2006,Melbourne (CBD),3000,Cafe Millenuim,4511,Cafes and Restaurants,144.9627445,-37.81786011
2006,Melbourne (CBD),3000,Pronto On Flinders,4511,Cafes and Restaurants,144.9632258,-37.81784765
2006,Melbourne (CBD),3000,Glick's,4511,Cafes and Restaurants,144.963491,-37.81775826
2006,Melbourne (CBD),3000,Curry Bar,4511,Cafes and Restaurants,144.9643316,-37.81741878
2006,Melbourne (CBD),3000,McDonald's,4511,Cafes and Restaurants,144.9644996,-37.81782922
2006,Melbourne (CBD),3000,Pepperoni's,4511,Cafes and Restaurants,144.9645503,-37.81793185
2006,Melbourne (CBD),3000,Cafe Duomo,4511,Cafes and Restaurants,144.9642275,-37.81553526
2006,Melbourne (CBD),3000,Melbourne Bar & Bistro,4511,Cafes and Restaurants,144.9636622,-37.8144328
2006,Melbourne (CBD),3000,Pizza Hut,4511,Cafes and Restaurants,144.9636622,-37.8144328
2006,Melbourne (CBD),3000,McDonald's,4511,Cafes and Restaurants,144.9636622,-37.8144328
2006,Melbourne (CBD),3000,Red Rooster,4511,Cafes and Restaurants,144.9636622,-37.8144328
2006,Melbourne (CBD),3000,Cafenatics Espresso Bar,4511,Cafes and Restaurants,144.9578132,-37.81636534
2006,Melbourne (CBD),3000,Sud,4511,Cafes and Restaurants,144.9548584,-37.81514931
2006,Melbourne (CBD),3000,Shark Fin House,4511,Cafes and Restaurants,144.9688573,-37.81199769
2006,Melbourne (CBD),3000,Ginza Teppanyaki,4511,Cafes and Restaurants,144.9685359,-37.81206119
2006,Melbourne (CBD),3000,Sawasdee Thai Restaurant,4511,Cafes and Restaurants,144.9685359,-37.81206119
2006,Melbourne (CBD),3000,Beijing Hot Pot Noodle & Dumpling,4511,Cafes and Restaurants,144.9682074,-37.81231991
2006,Melbourne (CBD),3000,Izakaya Chuji Japanese Restaurant,4511,Cafes and Restaurants,144.9676444,-37.81098272
2006,Melbourne (CBD),3000,Pho Dzung Tan DinhVietnamese Restaurant,4511,Cafes and Restaurants,144.9676444,-37.81098272
2006,Melbourne (CBD),3000,Seoul House Korean Restaurant,4511,Cafes and Restaurants,144.9676444,-37.81098272
2006,Melbourne (CBD),3000,Dragon Boat Palace,4511,Cafes and Restaurants,144.9680174,-37.81090617
2006,Melbourne (CBD),3000,Shanghai Village,4511,Cafes and Restaurants,144.9690756,-37.81124441
2006,Melbourne (CBD),3000,Empress of China,4511,Cafes and Restaurants,144.9689085,-37.81131622
2006,Melbourne (CBD),3000,Golden Orchid Restaurant,4511,Cafes and Restaurants,144.9687601,-37.81131219
2006,Melbourne (CBD),3000,Dainty Sichuan Noodle ,4511,Cafes and Restaurants,144.9683249,-37.8109979
2006,Melbourne (CBD),3000,King Bo Chinese Restaurant,4511,Cafes and Restaurants,144.9678632,-37.81158809
2006,Melbourne (CBD),3000,Cafe Rema,4511,Cafes and Restaurants,144.9581001,-37.81936891
2006,Melbourne (CBD),3000,Fernwood Women's Health Club,9111,Health and Fitness Centres and Gymnasia Operation,144.9581001,-37.81936891
2006,Melbourne (CBD),3000,Caffe Masters,4511,Cafes and Restaurants,144.9586012,-37.81946849
2011,Melbourne (CBD),3000,KFC,4511,Cafes and Restaurants,144.9648816,-37.81729894
2011,Melbourne (CBD),3000,Vietnamese Grill Bar,4511,Cafes and Restaurants,144.9641668,-37.81101861
2006,Melbourne (CBD),3000,Select 7,4110,Supermarket and Grocery Stores,144.9687387,-37.81235798
2006,Melbourne (CBD),3000,Gurkha's Express,4511,Cafes and Restaurants,144.9578288,-37.81999599
2006,Melbourne (CBD),3000,Kri Kri Restaurant,4511,Cafes and Restaurants,144.9715059,-37.81083595
2006,Melbourne (CBD),3000,Sung's Kitchen,4511,Cafes and Restaurants,144.9589367,-37.80819713
2006,Melbourne (CBD),3000,KFC,4511,Cafes and Restaurants,144.9667724,-37.81688806
2011,Melbourne (CBD),3000,Empress of India Tavern / Rajah -On Queen,4511,Cafes and Restaurants,144.9579611,-37.8096856
2011,Melbourne (CBD),3000,Choix Creperie Cafe,4511,Cafes and Restaurants,144.9543505,-37.81867544
2011,Melbourne (CBD),3000,City Blufish,4511,Cafes and Restaurants,144.9543505,-37.81867544
2006,Melbourne (CBD),3000,Il Bacaro Cucina E Bar,4511,Cafes and Restaurants,144.9678599,-37.81376794
2006,Melbourne (CBD),3000,Hudson's Coffee,4511,Cafes and Restaurants,144.9553253,-37.81622847
2006,Melbourne (CBD),3000,Eighth Spice,4511,Cafes and Restaurants,144.9590443,-37.81456798
2006,Melbourne (CBD),3000,Il Sole,4511,Cafes and Restaurants,144.9518789,-37.81337023
2006,Melbourne (CBD),3000,Cafe Silvestro ,4511,Cafes and Restaurants,144.9532342,-37.81359291
2006,Melbourne (CBD),3000,Little Peninsula,4511,Cafes and Restaurants,144.9602803,-37.81158232
2006,Melbourne (CBD),3000,Footlights Restaurant,4511,Cafes and Restaurants,144.96853,-37.81098009
2006,Melbourne (CBD),3000,Tea House At Chinatown,4511,Cafes and Restaurants,144.9689152,-37.81104301
2006,Melbourne (CBD),3000,Cafe 222,4511,Cafes and Restaurants,144.9704962,-37.81055707
2006,Melbourne (CBD),3000,Subway Sandwich,4511,Cafes and Restaurants,144.9667041,-37.81674222
2006,Melbourne (CBD),3000,Manchester Lane,4511,Cafes and Restaurants,144.9662007,-37.81642646
2006,Melbourne (CBD),3000,Bluestones 520 Cafe,4511,Cafes and Restaurants,144.9583865,-37.81527349
2006,Melbourne (CBD),3000,York Cafe,4511,Cafes and Restaurants,144.9596748,-37.81181165
2006,Melbourne (CBD),3000,Don Too,4511,Cafes and Restaurants,144.9596748,-37.81181165
2006,Melbourne (CBD),3000,The Basement Cafe,4511,Cafes and Restaurants,144.9592776,-37.81067976
2006,Melbourne (CBD),3000,Bismi Goldan Fork,4511,Cafes and Restaurants,144.9614913,-37.80985709
2006,Melbourne (CBD),3000,Ume Sushi House,4511,Cafes and Restaurants,144.961463,-37.81377588
2006,Melbourne (CBD),3000,Edelweiss Cafe & Wine Bar,4511,Cafes and Restaurants,144.9626049,-37.81366344
2006,Melbourne (CBD),3000,Red Silks Restaurant,4511,Cafes and Restaurants,144.9672768,-37.8124312
2006,Melbourne (CBD),3000,Nihonbashi Zen,4511,Cafes and Restaurants,144.9699123,-37.81128986
2006,Melbourne (CBD),3000,E-Taste Cafe,4511,Cafes and Restaurants,144.9697778,-37.81170307
2006,Melbourne (CBD),3000,Yuzu Japanese Stonegrill,4511,Cafes and Restaurants,144.9697778,-37.81170307
2006,Melbourne (CBD),3000,Food Cube,4511,Cafes and Restaurants,144.9622831,-37.81321386
2006,Melbourne (CBD),3000,Cafe Grind ,4511,Cafes and Restaurants,144.9617496,-37.81327298
2006,Melbourne (CBD),3000,Aloi Na,4511,Cafes and Restaurants,144.9609698,-37.81338297
2006,Melbourne (CBD),3000,Restaurant Vialetto,4511,Cafes and Restaurants,144.9608667,-37.8131434
